,station,x,y,salinity
0,anh,605075.10,4208474.70,0.22
1,snc,580303.50,4226742.30,1.30
2,ibs,577650.90,4223639.00,4.40
3,cyg,579678.00,4223160.00,3.47
4,fmb,584692.10,4227881.30,0.92
5,gzl,584309.02,4220037.89,5.42
6,ryc,588041.60,4215616.30,4.78
7,hon,593045.10,4214379.20,2.73
8,flt,579121.90,4214883.00,9.66
9,mrz,575432.50,4209227.70,9.27
10,mal,594757.50,4211123.30,2.13
11,ssi,608608.20,4214765.60,0.10
12,sdi,610748.90,4216702.80,0.09
13,blp,612410.90,4210203.70,0.15
14,sjj,615029.00,4212420.90,0.14
15,dsj,616676.60,4208098.20,0.16
16,hol2,624476.90,4208582.20,0.16
17,orq2,625994.60,4209807.90,0.16
18,frk,623008.40,4211892.70,0.14
19,holm,624631.50,4203880.00,0.17
20,bac,625406.50,4203423.60,0.16
21,mdm,628839.50,4200455.00,0.18
22,oh4,625718.90,4194688.90,0.19
23,pri,626573.00,4213393.10,0.14
24,ppt,627213.40,4213060.70,0.14
25,trn,635762.30,4206110.60,0.26
26,sjg,646735.20,4199969.70,0.36
27,dvi,649550.00,4179456.00,0.39
28,sjr,653005.80,4171637.90,0.39
29,orx,642021.80,4186071.20,0.42
30,pdup,643229.00,4184985.00,1.07
31,gle,637754.40,4187026.50,0.42
32,twa,635798.20,4185059.90,0.44
33,orm,630537.00,4183977.00,0.45
34,oad,628312.50,4185763.10,0.47
35,glc2,627753.00,4186838.80,0.43
36,mtb,635780.80,4193802.00,0.30
37,mdmzq,628839.50,4200455.00,0.19
38,sdc,629664.20,4235427.10,0.08
39,ges,629219.10,4233351.80,0.08
40,swe,629874.30,4233686.10,0.08
41,gss,629727.30,4233179.30,0.08
42,sus,622318.40,4234477.50,0.08
43,rvb,615105.00,4224350.00,0.10
44,mir,616742.90,4232844.40,0.09
45,dws,616657.30,4235072.20,0.11
46,lib,615115.00,4233613.00,0.13
47,srh,629247.70,4247651.00,0.08
48,gys,579253.00,4219416.00,4.19
