   Ordinate,   Date / Time,RSAC128 POS DWR-DMS-DSM2
---------------------------------------------------
Units, ,UNSPECIF
Type, ,INST-VAL
159,12 May 81, 11:31,2.0000
160,14 Nov 81, 11:19,0.0000
161,11 Jun 82, 12:26,1.0000
162,11 Jun 82, 16:11,2.0000
163,14 Jun 82, 10:05,0.0000
164,18 Jun 82, 12:26,2.0000
165,21 Jun 82, 09:45,0.0000
166,25 Jun 82, 12:21,2.0000
167,16 Nov 82, 10:01,0.0000
168,22 Jul 83, 09:37,2.0000
169,13 Nov 83, 14:35,0.0000
170,20 Apr 84, 10:05,2.0000
171,08 May 84, 11:49,0.0000
172,11 May 84, 10:57,2.0000
173,14 May 84, 10:22,0.0000
174,17 May 84, 10:25,2.0000
175,21 May 84, 09:40,0.0000
176,24 May 84, 10:15,2.0000
177,13 Nov 84, 09:54,0.0000
178,15 Mar 85, 14:25,2.0000
179,07 May 85, 09:35,0.0000
180,09 May 85, 09:44,2.0000
181,29 May 85, 09:02,0.0000
182,31 May 85, 12:55,2.0000
183,03 Jun 85, 08:25,0.0000
184,06 Jun 85, 09:40,2.0000
185,12 Jun 85, 08:24,0.0000
186,14 Jun 85, 12:24,2.0000
187,17 Oct 85, 08:10,0.0000
188,19 Oct 85, 10:36,2.0000
189,23 Oct 85, 13:25,0.0000
190,25 Oct 85, 13:01,2.0000
191,07 Nov 85, 14:25,0.0000
192,08 Nov 85, 14:25,2.0000
193,12 Nov 85, 12:20,0.0000
194,15 Nov 85, 14:24,2.0000
195,30 Nov 85, 11:31,0.0000
196,06 Dec 85, 12:30,2.0000
197,17 Jan 86, 13:01,0.0000
198,22 May 86, 12:00,2.0000
199,23 Sep 86, 13:25,0.0000
200,09 Oct 86, 12:55,2.0000
201,05 Dec 86, 14:35,0.0000
202,10 Dec 86, 10:25,2.0000
203,30 Dec 86, 14:25,0.0000
204,27 Feb 87, 07:25,2.0000
205,06 Mar 87, 09:40,0.0000
206,01 Apr 87, 08:25,2.0000
207,28 Apr 87, 06:55,0.0000
208,01 May 87, 06:55,2.0000
209,17 May 87, 06:26,0.0000
210,23 May 87, 06:26,2.0000
211,01 Oct 87, 14:35,0.0000
212,04 Oct 87, 08:25,2.0000
213,08 Oct 87, 10:22,0.0000
214,10 Oct 87, 05:31,2.0000
215,27 Oct 87, 11:15,0.0000
216,30 Oct 87, 07:36,2.0000
217,02 Nov 87, 14:55,0.0000
218,05 Nov 87, 15:26,2.0000
219,05 Jan 88, 08:25,0.0000
220,27 Jan 88, 13:40,2.0000
221,03 May 88, 06:33,0.0000
222,06 May 88, 06:47,2.0000
223,13 May 88, 12:26,0.0000
224,20 May 88, 14:25,2.0000
225,31 May 88, 06:54,0.0000
226,31 May 88, 13:36,2.0000
227,21 Jun 88, 06:40,0.0000
228,24 Jun 88, 06:26,2.0000
229,25 Nov 88, 12:54,0.0000
230,27 Nov 88, 07:43,2.0000
231,19 Feb 89, 12:28,0.0000
232,19 Feb 89, 13:57,2.0000
233,06 Mar 89, 09:26,0.0000
234,13 Apr 89, 14:07,2.0000
235,08 May 89, 11:26,0.0000
236,10 May 89, 07:25,2.0000
237,12 May 89, 13:25,0.0000
238,17 May 89, 09:23,2.0000
239,05 Jun 89, 12:26,0.0000
240,07 Jun 89, 07:25,2.0000
241,08 Jun 89, 13:54,0.0000
242,10 Jun 89, 05:55,2.0000
243,19 Jun 89, 09:26,0.0000
244,21 Jun 89, 13:25,2.0000
245,11 Jan 90, 09:45,0.0000
246,22 Jan 90, 14:25,2.0000
247,25 Apr 90, 13:25,0.0000
248,26 Apr 90, 14:41,2.0000
249,15 May 90, 08:24,0.0000
250,16 May 90, 12:26,2.0000
251,05 Mar 91, 14:25,0.0000
252,11 Mar 91, 10:25,2.0000
253,14 Mar 91, 16:01,0.0000
254,04 Apr 91, 10:56,2.0000
