   Ordinate,   Date / Time,RSAC155 FLOW DWR-DMS-202112
------------------------------------------------------
Units, ,CFS
Type, ,PER-AVER
1,30 Sep 89, 24:00,13300
2,01 Oct 89, 24:00,12400
3,02 Oct 89, 24:00,12000
4,03 Oct 89, 24:00,11800
5,04 Oct 89, 24:00,11200
6,05 Oct 89, 24:00,11200
7,06 Oct 89, 24:00,10800
8,07 Oct 89, 24:00,11700
9,08 Oct 89, 24:00,12300
10,09 Oct 89, 24:00,12300
11,10 Oct 89, 24:00,12200
12,11 Oct 89, 24:00,12700
13,12 Oct 89, 24:00,14100
14,13 Oct 89, 24:00,14900
15,14 Oct 89, 24:00,15000
16,15 Oct 89, 24:00,15500
17,16 Oct 89, 24:00,14700
18,17 Oct 89, 24:00,14300
19,18 Oct 89, 24:00,14200
20,19 Oct 89, 24:00,14400
21,20 Oct 89, 24:00,14500
22,21 Oct 89, 24:00,15500
23,22 Oct 89, 24:00,15700
24,23 Oct 89, 24:00,16300
25,24 Oct 89, 24:00,17900
26,25 Oct 89, 24:00,19800
27,26 Oct 89, 24:00,21100
28,27 Oct 89, 24:00,20600
29,28 Oct 89, 24:00,17300
30,29 Oct 89, 24:00,13800
31,30 Oct 89, 24:00,11600
32,31 Oct 89, 24:00,10700
33,01 Nov 89, 24:00,11200
34,02 Nov 89, 24:00,11800
35,03 Nov 89, 24:00,12500
36,04 Nov 89, 24:00,12500
37,05 Nov 89, 24:00,13400
38,06 Nov 89, 24:00,13900
39,07 Nov 89, 24:00,13900
40,08 Nov 89, 24:00,13800
41,09 Nov 89, 24:00,13600
42,10 Nov 89, 24:00,13500
43,11 Nov 89, 24:00,13400
44,12 Nov 89, 24:00,13600
45,13 Nov 89, 24:00,14500
46,14 Nov 89, 24:00,14900
47,15 Nov 89, 24:00,15300
48,16 Nov 89, 24:00,15300
49,17 Nov 89, 24:00,15600
50,18 Nov 89, 24:00,16200
51,19 Nov 89, 24:00,16400
52,20 Nov 89, 24:00,16400
53,21 Nov 89, 24:00,16300
54,22 Nov 89, 24:00,16100
55,23 Nov 89, 24:00,15700
56,24 Nov 89, 24:00,15400
57,25 Nov 89, 24:00,15700
58,26 Nov 89, 24:00,17400
59,27 Nov 89, 24:00,17700
60,28 Nov 89, 24:00,17300
61,29 Nov 89, 24:00,16100
62,30 Nov 89, 24:00,15500
63,01 Dec 89, 24:00,15200
64,02 Dec 89, 24:00,14600
65,03 Dec 89, 24:00,14800
66,04 Dec 89, 24:00,15300
67,05 Dec 89, 24:00,15500
68,06 Dec 89, 24:00,15500
69,07 Dec 89, 24:00,16000
70,08 Dec 89, 24:00,17000
71,09 Dec 89, 24:00,17700
72,10 Dec 89, 24:00,18000
73,11 Dec 89, 24:00,17700
74,12 Dec 89, 24:00,16600
75,13 Dec 89, 24:00,16000
76,14 Dec 89, 24:00,15600
77,15 Dec 89, 24:00,15400
78,16 Dec 89, 24:00,15200
79,17 Dec 89, 24:00,15000
80,18 Dec 89, 24:00,14700
81,19 Dec 89, 24:00,14400
82,20 Dec 89, 24:00,14000
83,21 Dec 89, 24:00,13900
84,22 Dec 89, 24:00,13900
85,23 Dec 89, 24:00,13900
86,24 Dec 89, 24:00,13800
87,25 Dec 89, 24:00,13900
88,26 Dec 89, 24:00,13700
89,27 Dec 89, 24:00,14000
90,28 Dec 89, 24:00,15400
91,29 Dec 89, 24:00,16500
92,30 Dec 89, 24:00,17000
93,31 Dec 89, 24:00,17100
94,01 Jan 90, 24:00,16900
95,02 Jan 90, 24:00,17000
96,03 Jan 90, 24:00,15900
97,04 Jan 90, 24:00,15500
98,05 Jan 90, 24:00,14900
99,06 Jan 90, 24:00,14500
100,07 Jan 90, 24:00,14900
101,08 Jan 90, 24:00,15900
102,09 Jan 90, 24:00,17000
103,10 Jan 90, 24:00,23500
104,11 Jan 90, 24:00,24500
105,12 Jan 90, 24:00,20700
106,13 Jan 90, 24:00,21600
107,14 Jan 90, 24:00,26300
108,15 Jan 90, 24:00,34200
109,16 Jan 90, 24:00,36900
110,17 Jan 90, 24:00,32000
111,18 Jan 90, 24:00,28500
112,19 Jan 90, 24:00,25600
113,20 Jan 90, 24:00,21900
114,21 Jan 90, 24:00,18900
115,22 Jan 90, 24:00,16700
116,23 Jan 90, 24:00,14900
117,24 Jan 90, 24:00,14100
118,25 Jan 90, 24:00,13200
119,26 Jan 90, 24:00,12400
120,27 Jan 90, 24:00,12300
121,28 Jan 90, 24:00,11700
122,29 Jan 90, 24:00,11200
123,30 Jan 90, 24:00,10900
124,31 Jan 90, 24:00,11700
125,01 Feb 90, 24:00,12400
126,02 Feb 90, 24:00,13700
127,03 Feb 90, 24:00,13500
128,04 Feb 90, 24:00,14200
129,05 Feb 90, 24:00,14700
130,06 Feb 90, 24:00,15200
131,07 Feb 90, 24:00,15700
132,08 Feb 90, 24:00,15100
133,09 Feb 90, 24:00,14300
134,10 Feb 90, 24:00,13300
135,11 Feb 90, 24:00,12500
136,12 Feb 90, 24:00,11900
137,13 Feb 90, 24:00,11600
138,14 Feb 90, 24:00,11600
139,15 Feb 90, 24:00,10600
140,16 Feb 90, 24:00,11600
141,17 Feb 90, 24:00,17300
142,18 Feb 90, 24:00,19100
143,19 Feb 90, 24:00,18000
144,20 Feb 90, 24:00,16300
145,21 Feb 90, 24:00,14700
146,22 Feb 90, 24:00,13900
147,23 Feb 90, 24:00,13500
148,24 Feb 90, 24:00,13200
149,25 Feb 90, 24:00,12800
150,26 Feb 90, 24:00,12200
151,27 Feb 90, 24:00,12000
152,28 Feb 90, 24:00,11600
153,01 Mar 90, 24:00,11600
154,02 Mar 90, 24:00,11600
155,03 Mar 90, 24:00,11800
156,04 Mar 90, 24:00,11900
157,05 Mar 90, 24:00,14300
158,06 Mar 90, 24:00,16800
159,07 Mar 90, 24:00,17600
160,08 Mar 90, 24:00,17200
161,09 Mar 90, 24:00,15300
162,10 Mar 90, 24:00,13800
163,11 Mar 90, 24:00,13900
164,12 Mar 90, 24:00,14500
165,13 Mar 90, 24:00,15200
166,14 Mar 90, 24:00,14700
167,15 Mar 90, 24:00,13300
168,16 Mar 90, 24:00,12600
169,17 Mar 90, 24:00,11700
170,18 Mar 90, 24:00,11400
171,19 Mar 90, 24:00,11200
172,20 Mar 90, 24:00,10800
173,21 Mar 90, 24:00,10400
174,22 Mar 90, 24:00,10600
175,23 Mar 90, 24:00,11000
176,24 Mar 90, 24:00,11000
177,25 Mar 90, 24:00,11300
178,26 Mar 90, 24:00,11900
179,27 Mar 90, 24:00,11400
180,28 Mar 90, 24:00,12100
181,29 Mar 90, 24:00,12600
182,30 Mar 90, 24:00,12500
183,31 Mar 90, 24:00,12900
184,01 Apr 90, 24:00,13400
185,02 Apr 90, 24:00,14000
186,03 Apr 90, 24:00,13900
187,04 Apr 90, 24:00,12900
188,05 Apr 90, 24:00,13400
189,06 Apr 90, 24:00,15000
190,07 Apr 90, 24:00,15800
191,08 Apr 90, 24:00,15900
192,09 Apr 90, 24:00,16000
193,10 Apr 90, 24:00,16200
194,11 Apr 90, 24:00,16900
195,12 Apr 90, 24:00,17600
196,13 Apr 90, 24:00,17300
197,14 Apr 90, 24:00,17000
198,15 Apr 90, 24:00,17900
199,16 Apr 90, 24:00,18200
200,17 Apr 90, 24:00,18100
201,18 Apr 90, 24:00,17700
202,19 Apr 90, 24:00,17500
203,20 Apr 90, 24:00,17500
204,21 Apr 90, 24:00,16500
205,22 Apr 90, 24:00,15500
206,23 Apr 90, 24:00,15200
207,24 Apr 90, 24:00,15600
208,25 Apr 90, 24:00,15000
209,26 Apr 90, 24:00,14700
210,27 Apr 90, 24:00,13600
211,28 Apr 90, 24:00,11200
212,29 Apr 90, 24:00,9490
213,30 Apr 90, 24:00,9150
214,01 May 90, 24:00,8010
215,02 May 90, 24:00,7410
216,03 May 90, 24:00,6870
217,04 May 90, 24:00,5980
218,05 May 90, 24:00,5380
219,06 May 90, 24:00,5370
220,07 May 90, 24:00,6010
221,08 May 90, 24:00,6000
222,09 May 90, 24:00,7300
223,10 May 90, 24:00,8440
224,11 May 90, 24:00,8820
225,12 May 90, 24:00,9460
226,13 May 90, 24:00,9600
227,14 May 90, 24:00,9610
228,15 May 90, 24:00,9710
229,16 May 90, 24:00,10300
230,17 May 90, 24:00,10300
231,18 May 90, 24:00,11100
232,19 May 90, 24:00,9780
233,20 May 90, 24:00,9820
234,21 May 90, 24:00,10400
235,22 May 90, 24:00,10800
236,23 May 90, 24:00,10700
237,24 May 90, 24:00,11900
238,25 May 90, 24:00,13000
239,26 May 90, 24:00,13900
240,27 May 90, 24:00,13500
241,28 May 90, 24:00,14800
242,29 May 90, 24:00,17300
243,30 May 90, 24:00,20400
244,31 May 90, 24:00,20500
245,01 Jun 90, 24:00,19300
246,02 Jun 90, 24:00,20600
247,03 Jun 90, 24:00,19000
248,04 Jun 90, 24:00,15900
249,05 Jun 90, 24:00,11800
250,06 Jun 90, 24:00,9800
251,07 Jun 90, 24:00,8840
252,08 Jun 90, 24:00,7860
253,09 Jun 90, 24:00,7880
254,10 Jun 90, 24:00,8330
255,11 Jun 90, 24:00,8020
256,12 Jun 90, 24:00,7480
257,13 Jun 90, 24:00,7420
258,14 Jun 90, 24:00,8200
259,15 Jun 90, 24:00,9170
260,16 Jun 90, 24:00,9840
261,17 Jun 90, 24:00,9300
262,18 Jun 90, 24:00,10300
263,19 Jun 90, 24:00,10600
264,20 Jun 90, 24:00,9930
265,21 Jun 90, 24:00,8890
266,22 Jun 90, 24:00,9460
267,23 Jun 90, 24:00,10400
268,24 Jun 90, 24:00,10600
269,25 Jun 90, 24:00,10400
270,26 Jun 90, 24:00,9680
271,27 Jun 90, 24:00,8660
272,28 Jun 90, 24:00,8730
273,29 Jun 90, 24:00,8870
274,30 Jun 90, 24:00,10300
275,01 Jul 90, 24:00,11800
276,02 Jul 90, 24:00,12600
277,03 Jul 90, 24:00,12200
278,04 Jul 90, 24:00,12300
279,05 Jul 90, 24:00,11800
280,06 Jul 90, 24:00,11200
281,07 Jul 90, 24:00,11200
282,08 Jul 90, 24:00,11000
283,09 Jul 90, 24:00,11200
284,10 Jul 90, 24:00,12500
285,11 Jul 90, 24:00,14100
286,12 Jul 90, 24:00,14300
287,13 Jul 90, 24:00,13400
288,14 Jul 90, 24:00,12600
289,15 Jul 90, 24:00,13100
290,16 Jul 90, 24:00,13900
291,17 Jul 90, 24:00,14400
292,18 Jul 90, 24:00,14500
293,19 Jul 90, 24:00,14800
294,20 Jul 90, 24:00,15100
295,21 Jul 90, 24:00,15100
296,22 Jul 90, 24:00,15000
297,23 Jul 90, 24:00,15200
298,24 Jul 90, 24:00,15100
299,25 Jul 90, 24:00,14900
300,26 Jul 90, 24:00,14700
301,27 Jul 90, 24:00,14000
302,28 Jul 90, 24:00,14100
303,29 Jul 90, 24:00,14100
304,30 Jul 90, 24:00,14200
305,31 Jul 90, 24:00,14300
306,01 Aug 90, 24:00,14400
307,02 Aug 90, 24:00,14400
308,03 Aug 90, 24:00,14900
309,04 Aug 90, 24:00,14700
310,05 Aug 90, 24:00,15400
311,06 Aug 90, 24:00,16000
312,07 Aug 90, 24:00,14900
313,08 Aug 90, 24:00,14300
314,09 Aug 90, 24:00,13900
315,10 Aug 90, 24:00,14200
316,11 Aug 90, 24:00,14300
317,12 Aug 90, 24:00,14100
318,13 Aug 90, 24:00,13700
319,14 Aug 90, 24:00,13300
320,15 Aug 90, 24:00,13800
321,16 Aug 90, 24:00,14200
322,17 Aug 90, 24:00,14400
323,18 Aug 90, 24:00,14500
324,19 Aug 90, 24:00,14700
325,20 Aug 90, 24:00,14000
326,21 Aug 90, 24:00,13800
327,22 Aug 90, 24:00,13200
328,23 Aug 90, 24:00,12700
329,24 Aug 90, 24:00,12600
330,25 Aug 90, 24:00,13100
331,26 Aug 90, 24:00,12700
332,27 Aug 90, 24:00,12500
333,28 Aug 90, 24:00,12700
334,29 Aug 90, 24:00,12500
335,30 Aug 90, 24:00,12500
336,31 Aug 90, 24:00,12600
337,01 Sep 90, 24:00,12300
338,02 Sep 90, 24:00,12100
339,03 Sep 90, 24:00,11400
340,04 Sep 90, 24:00,11900
341,05 Sep 90, 24:00,12000
342,06 Sep 90, 24:00,11900
343,07 Sep 90, 24:00,11900
344,08 Sep 90, 24:00,12000
345,09 Sep 90, 24:00,12000
346,10 Sep 90, 24:00,11100
347,11 Sep 90, 24:00,11300
348,12 Sep 90, 24:00,11100
349,13 Sep 90, 24:00,11100
350,14 Sep 90, 24:00,10900
351,15 Sep 90, 24:00,10300
352,16 Sep 90, 24:00,9900
353,17 Sep 90, 24:00,9380
354,18 Sep 90, 24:00,8880
355,19 Sep 90, 24:00,8800
356,20 Sep 90, 24:00,8830
357,21 Sep 90, 24:00,8070
358,22 Sep 90, 24:00,8470
359,23 Sep 90, 24:00,8060
360,24 Sep 90, 24:00,7880
361,25 Sep 90, 24:00,7560
362,26 Sep 90, 24:00,7850
363,27 Sep 90, 24:00,8210
364,28 Sep 90, 24:00,8710
365,29 Sep 90, 24:00,8710
366,30 Sep 90, 24:00,8270
367,01 Oct 90, 24:00,7880
368,02 Oct 90, 24:00,7940
369,03 Oct 90, 24:00,7640
370,04 Oct 90, 24:00,7070
371,05 Oct 90, 24:00,7080
372,06 Oct 90, 24:00,7430
373,07 Oct 90, 24:00,7290
374,08 Oct 90, 24:00,7240
375,09 Oct 90, 24:00,7040
376,10 Oct 90, 24:00,7050
377,11 Oct 90, 24:00,7690
378,12 Oct 90, 24:00,7950
379,13 Oct 90, 24:00,7890
380,14 Oct 90, 24:00,7790
381,15 Oct 90, 24:00,7690
382,16 Oct 90, 24:00,7410
383,17 Oct 90, 24:00,6940
384,18 Oct 90, 24:00,6680
385,19 Oct 90, 24:00,7290
386,20 Oct 90, 24:00,7210
387,21 Oct 90, 24:00,7250
388,22 Oct 90, 24:00,6780
389,23 Oct 90, 24:00,7060
390,24 Oct 90, 24:00,7860
391,25 Oct 90, 24:00,8030
392,26 Oct 90, 24:00,8380
393,27 Oct 90, 24:00,8510
394,28 Oct 90, 24:00,8670
395,29 Oct 90, 24:00,8690
396,30 Oct 90, 24:00,8590
397,31 Oct 90, 24:00,8210
398,01 Nov 90, 24:00,8470
399,02 Nov 90, 24:00,8170
400,03 Nov 90, 24:00,8160
401,04 Nov 90, 24:00,8440
402,05 Nov 90, 24:00,8490
403,06 Nov 90, 24:00,9170
404,07 Nov 90, 24:00,7770
405,08 Nov 90, 24:00,8200
406,09 Nov 90, 24:00,8400
407,10 Nov 90, 24:00,8090
408,11 Nov 90, 24:00,7630
409,12 Nov 90, 24:00,6780
410,13 Nov 90, 24:00,6910
411,14 Nov 90, 24:00,7130
412,15 Nov 90, 24:00,7240
413,16 Nov 90, 24:00,7200
414,17 Nov 90, 24:00,7230
415,18 Nov 90, 24:00,7390
416,19 Nov 90, 24:00,7110
417,20 Nov 90, 24:00,7390
418,21 Nov 90, 24:00,7550
419,22 Nov 90, 24:00,7250
420,23 Nov 90, 24:00,7300
421,24 Nov 90, 24:00,7580
422,25 Nov 90, 24:00,7400
423,26 Nov 90, 24:00,8780
424,27 Nov 90, 24:00,8160
425,28 Nov 90, 24:00,7840
426,29 Nov 90, 24:00,7410
427,30 Nov 90, 24:00,7040
428,01 Dec 90, 24:00,7070
429,02 Dec 90, 24:00,7210
430,03 Dec 90, 24:00,8890
431,04 Dec 90, 24:00,10300
432,05 Dec 90, 24:00,11100
433,06 Dec 90, 24:00,11500
434,07 Dec 90, 24:00,11300
435,08 Dec 90, 24:00,11300
436,09 Dec 90, 24:00,11400
437,10 Dec 90, 24:00,11500
438,11 Dec 90, 24:00,12400
439,12 Dec 90, 24:00,12200
440,13 Dec 90, 24:00,12100
441,14 Dec 90, 24:00,11900
442,15 Dec 90, 24:00,11500
443,16 Dec 90, 24:00,12100
444,17 Dec 90, 24:00,11900
445,18 Dec 90, 24:00,11400
446,19 Dec 90, 24:00,11300
447,20 Dec 90, 24:00,12100
448,21 Dec 90, 24:00,11300
449,22 Dec 90, 24:00,10700
450,23 Dec 90, 24:00,10900
451,24 Dec 90, 24:00,10400
452,25 Dec 90, 24:00,10500
453,26 Dec 90, 24:00,10500
454,27 Dec 90, 24:00,10300
455,28 Dec 90, 24:00,9920
456,29 Dec 90, 24:00,10300
457,30 Dec 90, 24:00,10100
458,31 Dec 90, 24:00,9980
459,01 Jan 91, 24:00,10200
460,02 Jan 91, 24:00,10300
461,03 Jan 91, 24:00,10300
462,04 Jan 91, 24:00,10300
463,05 Jan 91, 24:00,10600
464,06 Jan 91, 24:00,10400
465,07 Jan 91, 24:00,10300
466,08 Jan 91, 24:00,10400
467,09 Jan 91, 24:00,10000
468,10 Jan 91, 24:00,10200
469,11 Jan 91, 24:00,10000
470,12 Jan 91, 24:00,9720
471,13 Jan 91, 24:00,9490
472,14 Jan 91, 24:00,9260
473,15 Jan 91, 24:00,9100
474,16 Jan 91, 24:00,9140
475,17 Jan 91, 24:00,9250
476,18 Jan 91, 24:00,8920
477,19 Jan 91, 24:00,9000
478,20 Jan 91, 24:00,9140
479,21 Jan 91, 24:00,8490
480,22 Jan 91, 24:00,8350
481,23 Jan 91, 24:00,8460
482,24 Jan 91, 24:00,8020
483,25 Jan 91, 24:00,7580
484,26 Jan 91, 24:00,7150
485,27 Jan 91, 24:00,7080
486,28 Jan 91, 24:00,7070
487,29 Jan 91, 24:00,6790
488,30 Jan 91, 24:00,6930
489,31 Jan 91, 24:00,6560
490,01 Feb 91, 24:00,6550
491,02 Feb 91, 24:00,8080
492,03 Feb 91, 24:00,9110
493,04 Feb 91, 24:00,9270
494,05 Feb 91, 24:00,12500
495,06 Feb 91, 24:00,12900
496,07 Feb 91, 24:00,12500
497,08 Feb 91, 24:00,11600
498,09 Feb 91, 24:00,10100
499,10 Feb 91, 24:00,8960
500,11 Feb 91, 24:00,8150
501,12 Feb 91, 24:00,7600
502,13 Feb 91, 24:00,7260
503,14 Feb 91, 24:00,7010
504,15 Feb 91, 24:00,7230
505,16 Feb 91, 24:00,7010
506,17 Feb 91, 24:00,7560
507,18 Feb 91, 24:00,7450
508,19 Feb 91, 24:00,7280
509,20 Feb 91, 24:00,6960
510,21 Feb 91, 24:00,6710
511,22 Feb 91, 24:00,6680
512,23 Feb 91, 24:00,6970
513,24 Feb 91, 24:00,6500
514,25 Feb 91, 24:00,6300
515,26 Feb 91, 24:00,6030
516,27 Feb 91, 24:00,6600
517,28 Feb 91, 24:00,6860
518,01 Mar 91, 24:00,8300
519,02 Mar 91, 24:00,10400
520,03 Mar 91, 24:00,11400
521,04 Mar 91, 24:00,15500
522,05 Mar 91, 24:00,31600
523,06 Mar 91, 24:00,37900
524,07 Mar 91, 24:00,34900
525,08 Mar 91, 24:00,27500
526,09 Mar 91, 24:00,21200
527,10 Mar 91, 24:00,16600
528,11 Mar 91, 24:00,14900
529,12 Mar 91, 24:00,13000
530,13 Mar 91, 24:00,15300
531,14 Mar 91, 24:00,25400
532,15 Mar 91, 24:00,31900
533,16 Mar 91, 24:00,29300
534,17 Mar 91, 24:00,25400
535,18 Mar 91, 24:00,22400
536,19 Mar 91, 24:00,20200
537,20 Mar 91, 24:00,23900
538,21 Mar 91, 24:00,26500
539,22 Mar 91, 24:00,26700
540,23 Mar 91, 24:00,23200
541,24 Mar 91, 24:00,22200
542,25 Mar 91, 24:00,30600
543,26 Mar 91, 24:00,39100
544,27 Mar 91, 24:00,46900
545,28 Mar 91, 24:00,45400
546,29 Mar 91, 24:00,39700
547,30 Mar 91, 24:00,33200
548,31 Mar 91, 24:00,27900
549,01 Apr 91, 24:00,24700
550,02 Apr 91, 24:00,21700
551,03 Apr 91, 24:00,18400
552,04 Apr 91, 24:00,16700
553,05 Apr 91, 24:00,15300
554,06 Apr 91, 24:00,14200
555,07 Apr 91, 24:00,13600
556,08 Apr 91, 24:00,13500
557,09 Apr 91, 24:00,13400
558,10 Apr 91, 24:00,13300
559,11 Apr 91, 24:00,11800
560,12 Apr 91, 24:00,10600
561,13 Apr 91, 24:00,10800
562,14 Apr 91, 24:00,9740
563,15 Apr 91, 24:00,9250
564,16 Apr 91, 24:00,8850
565,17 Apr 91, 24:00,8710
566,18 Apr 91, 24:00,8600
567,19 Apr 91, 24:00,8260
568,20 Apr 91, 24:00,7500
569,21 Apr 91, 24:00,7360
570,22 Apr 91, 24:00,7650
571,23 Apr 91, 24:00,7390
572,24 Apr 91, 24:00,7570
573,25 Apr 91, 24:00,7220
574,26 Apr 91, 24:00,6910
575,27 Apr 91, 24:00,6560
576,28 Apr 91, 24:00,6310
577,29 Apr 91, 24:00,5760
578,30 Apr 91, 24:00,4730
579,01 May 91, 24:00,5360
580,02 May 91, 24:00,5180
581,03 May 91, 24:00,6410
582,04 May 91, 24:00,6960
583,05 May 91, 24:00,7470
584,06 May 91, 24:00,6960
585,07 May 91, 24:00,7070
586,08 May 91, 24:00,6510
587,09 May 91, 24:00,7310
588,10 May 91, 24:00,6700
589,11 May 91, 24:00,5830
590,12 May 91, 24:00,6240
591,13 May 91, 24:00,5300
592,14 May 91, 24:00,6250
593,15 May 91, 24:00,6900
594,16 May 91, 24:00,7090
595,17 May 91, 24:00,8420
596,18 May 91, 24:00,9380
597,19 May 91, 24:00,8650
598,20 May 91, 24:00,8430
599,21 May 91, 24:00,8440
600,22 May 91, 24:00,8010
601,23 May 91, 24:00,7410
602,24 May 91, 24:00,7430
603,25 May 91, 24:00,7470
604,26 May 91, 24:00,7970
605,27 May 91, 24:00,8280
606,28 May 91, 24:00,8460
607,29 May 91, 24:00,8350
608,30 May 91, 24:00,8390
609,31 May 91, 24:00,8660
610,01 Jun 91, 24:00,9630
611,02 Jun 91, 24:00,9360
612,03 Jun 91, 24:00,9610
613,04 Jun 91, 24:00,9210
614,05 Jun 91, 24:00,8380
615,06 Jun 91, 24:00,8260
616,07 Jun 91, 24:00,8400
617,08 Jun 91, 24:00,7440
618,09 Jun 91, 24:00,7270
619,10 Jun 91, 24:00,7660
620,11 Jun 91, 24:00,8220
621,12 Jun 91, 24:00,9020
622,13 Jun 91, 24:00,10400
623,14 Jun 91, 24:00,10300
624,15 Jun 91, 24:00,9850
625,16 Jun 91, 24:00,9390
626,17 Jun 91, 24:00,9450
627,18 Jun 91, 24:00,8830
628,19 Jun 91, 24:00,8790
629,20 Jun 91, 24:00,8490
630,21 Jun 91, 24:00,7800
631,22 Jun 91, 24:00,7660
632,23 Jun 91, 24:00,7710
633,24 Jun 91, 24:00,8510
634,25 Jun 91, 24:00,9230
635,26 Jun 91, 24:00,9070
636,27 Jun 91, 24:00,9520
637,28 Jun 91, 24:00,9430
638,29 Jun 91, 24:00,10300
639,30 Jun 91, 24:00,10700
640,01 Jul 91, 24:00,10900
641,02 Jul 91, 24:00,10900
642,03 Jul 91, 24:00,10500
643,04 Jul 91, 24:00,10000
644,05 Jul 91, 24:00,9450
645,06 Jul 91, 24:00,9150
646,07 Jul 91, 24:00,9260
647,08 Jul 91, 24:00,9300
648,09 Jul 91, 24:00,9830
649,10 Jul 91, 24:00,10100
650,11 Jul 91, 24:00,10700
651,12 Jul 91, 24:00,10800
652,13 Jul 91, 24:00,10400
653,14 Jul 91, 24:00,9750
654,15 Jul 91, 24:00,8940
655,16 Jul 91, 24:00,8810
656,17 Jul 91, 24:00,8590
657,18 Jul 91, 24:00,8740
658,19 Jul 91, 24:00,8200
659,20 Jul 91, 24:00,9000
660,21 Jul 91, 24:00,9280
661,22 Jul 91, 24:00,9560
662,23 Jul 91, 24:00,9760
663,24 Jul 91, 24:00,9910
664,25 Jul 91, 24:00,10100
665,26 Jul 91, 24:00,9360
666,27 Jul 91, 24:00,8670
667,28 Jul 91, 24:00,8870
668,29 Jul 91, 24:00,9010
669,30 Jul 91, 24:00,8940
670,31 Jul 91, 24:00,8160
671,01 Aug 91, 24:00,8870
672,02 Aug 91, 24:00,9070
673,03 Aug 91, 24:00,9310
674,04 Aug 91, 24:00,9310
675,05 Aug 91, 24:00,9410
676,06 Aug 91, 24:00,9740
677,07 Aug 91, 24:00,10300
678,08 Aug 91, 24:00,10200
679,09 Aug 91, 24:00,9920
680,10 Aug 91, 24:00,9930
681,11 Aug 91, 24:00,10100
682,12 Aug 91, 24:00,10400
683,13 Aug 91, 24:00,10400
684,14 Aug 91, 24:00,8800
685,15 Aug 91, 24:00,9590
686,16 Aug 91, 24:00,9310
687,17 Aug 91, 24:00,9210
688,18 Aug 91, 24:00,9450
689,19 Aug 91, 24:00,9570
690,20 Aug 91, 24:00,9430
691,21 Aug 91, 24:00,9500
692,22 Aug 91, 24:00,9400
693,23 Aug 91, 24:00,9630
694,24 Aug 91, 24:00,9170
695,25 Aug 91, 24:00,9280
696,26 Aug 91, 24:00,9250
697,27 Aug 91, 24:00,9310
698,28 Aug 91, 24:00,9370
699,29 Aug 91, 24:00,9610
700,30 Aug 91, 24:00,8810
701,31 Aug 91, 24:00,9310
702,01 Sep 91, 24:00,9340
703,02 Sep 91, 24:00,9250
704,03 Sep 91, 24:00,9170
705,04 Sep 91, 24:00,9540
706,05 Sep 91, 24:00,9650
707,06 Sep 91, 24:00,9160
708,07 Sep 91, 24:00,9700
709,08 Sep 91, 24:00,9630
710,09 Sep 91, 24:00,9620
711,10 Sep 91, 24:00,10300
712,11 Sep 91, 24:00,10000
713,12 Sep 91, 24:00,9970
714,13 Sep 91, 24:00,10100
715,14 Sep 91, 24:00,10400
716,15 Sep 91, 24:00,10500
717,16 Sep 91, 24:00,10700
718,17 Sep 91, 24:00,10400
719,18 Sep 91, 24:00,10400
720,19 Sep 91, 24:00,9840
721,20 Sep 91, 24:00,9560
722,21 Sep 91, 24:00,9350
723,22 Sep 91, 24:00,9540
724,23 Sep 91, 24:00,10200
725,24 Sep 91, 24:00,10800
726,25 Sep 91, 24:00,10100
727,26 Sep 91, 24:00,9520
728,27 Sep 91, 24:00,10200
729,28 Sep 91, 24:00,10500
730,29 Sep 91, 24:00,10500
731,30 Sep 91, 24:00,10500
732,01 Oct 91, 24:00,11500
733,02 Oct 91, 24:00,11800
734,03 Oct 91, 24:00,11500
735,04 Oct 91, 24:00,11000
736,05 Oct 91, 24:00,10800
737,06 Oct 91, 24:00,11400
738,07 Oct 91, 24:00,11400
739,08 Oct 91, 24:00,11300
740,09 Oct 91, 24:00,11400
741,10 Oct 91, 24:00,10900
742,11 Oct 91, 24:00,10400
743,12 Oct 91, 24:00,10200
744,13 Oct 91, 24:00,10100
745,14 Oct 91, 24:00,9720
746,15 Oct 91, 24:00,9560
747,16 Oct 91, 24:00,8990
748,17 Oct 91, 24:00,8450
749,18 Oct 91, 24:00,8120
750,19 Oct 91, 24:00,7170
751,20 Oct 91, 24:00,6830
752,21 Oct 91, 24:00,6260
753,22 Oct 91, 24:00,6730
754,23 Oct 91, 24:00,7820
755,24 Oct 91, 24:00,7720
756,25 Oct 91, 24:00,7730
757,26 Oct 91, 24:00,8130
758,27 Oct 91, 24:00,9630
759,28 Oct 91, 24:00,8900
760,29 Oct 91, 24:00,9220
761,30 Oct 91, 24:00,8890
762,31 Oct 91, 24:00,7890
763,01 Nov 91, 24:00,7090
764,02 Nov 91, 24:00,6310
765,03 Nov 91, 24:00,6380
766,04 Nov 91, 24:00,6300
767,05 Nov 91, 24:00,6280
768,06 Nov 91, 24:00,6250
769,07 Nov 91, 24:00,6250
770,08 Nov 91, 24:00,5930
771,09 Nov 91, 24:00,6780
772,10 Nov 91, 24:00,7340
773,11 Nov 91, 24:00,8200
774,12 Nov 91, 24:00,8510
775,13 Nov 91, 24:00,7260
776,14 Nov 91, 24:00,7650
777,15 Nov 91, 24:00,6880
778,16 Nov 91, 24:00,6550
779,17 Nov 91, 24:00,5970
780,18 Nov 91, 24:00,7160
781,19 Nov 91, 24:00,6920
