   Ordinate,   Date / Time,RSAC155 FLOW DWR-DMS-202112
------------------------------------------------------
Units, ,CFS
Type, ,PER-AVER
9416,11 Jul 15, 24:00,7826
9417,12 Jul 15, 24:00,8113
9418,13 Jul 15, 24:00,8408
9419,14 Jul 15, 24:00,8192
9420,15 Jul 15, 24:00,8149
9421,16 Jul 15, 24:00,8006
9422,17 Jul 15, 24:00,8460
9423,18 Jul 15, 24:00,8411
9424,19 Jul 15, 24:00,8548
9425,20 Jul 15, 24:00,7573
9426,21 Jul 15, 24:00,7365
9427,22 Jul 15, 24:00,7111
9428,23 Jul 15, 24:00,7305
9429,24 Jul 15, 24:00,7249
9430,25 Jul 15, 24:00,7295
9431,26 Jul 15, 24:00,6895
9432,27 Jul 15, 24:00,7720
9433,28 Jul 15, 24:00,7606
9434,29 Jul 15, 24:00,7655
9435,30 Jul 15, 24:00,7438
9436,31 Jul 15, 24:00,7577
9437,01 Aug 15, 24:00,7472
9438,02 Aug 15, 24:00,7291
9439,03 Aug 15, 24:00,7390
9440,04 Aug 15, 24:00,7390
9441,05 Aug 15, 24:00,7686
9442,06 Aug 15, 24:00,7603
9443,07 Aug 15, 24:00,7680
9444,08 Aug 15, 24:00,7635
9445,09 Aug 15, 24:00,7682
9446,10 Aug 15, 24:00,7505
9447,11 Aug 15, 24:00,7754
9448,12 Aug 15, 24:00,8043
9449,13 Aug 15, 24:00,7972
9450,14 Aug 15, 24:00,7918
9451,15 Aug 15, 24:00,7719
9452,16 Aug 15, 24:00,7202
9453,17 Aug 15, 24:00,6734
