2006-01-01,10208
2006-01-02,11288
2006-01-03,11833
2006-01-04,11858
2006-01-05,13467
2006-01-06,15629
2006-01-07,16338
2006-01-08,17458
2006-01-09,18808
2006-01-10,19442
2006-01-11,19717
2006-01-12,19825
2006-01-13,18971
2006-01-14,17525
2006-01-15,16732.2259844834
2006-01-16,15928.7967197543
2006-01-17,15111.7967197543
2006-01-18,14282.7967197543
2006-01-19,13728.7967197543
2006-01-20,12974.7967197543
2006-01-21,11920.7967197543
2006-01-22,10936.7967197543
2006-01-23,9745.79671975427
2006-01-24,9008.76423635327
2006-01-25,8654.76423635327
2006-01-26,8454.76423635327
2006-01-27,8145.76423635327
2006-01-28,7817.76423635327
2006-01-29,7603.76423635327
2006-01-30,7465.76423635327
2006-01-31,7358.76423635327
2006-02-01,7320.76423635327
2006-02-02,7674.86535935419
2006-02-03,7636.86535935419
2006-02-04,7463.86535935419
2006-02-05,7144.86535935419
2006-02-06,7024.86535935419
2006-02-07,6995.86535935419
2006-02-08,6992.86535935419
2006-02-09,6985.86535935419
2006-02-10,7100.86535935419
2006-02-11,7132.86535935419
2006-02-12,7041.86535935419
2006-02-13,7007.86535935419
2006-02-14,6948.86535935419
2006-02-15,6898.86535935419
2006-02-16,6998.86535935419
2006-02-17,7012.86535935419
2006-02-18,6690.86535935419
2006-02-19,6469.50222667789
2006-02-20,6542.50222667789
2006-02-21,6401.50222667789
2006-02-22,6142.50222667789
2006-02-23,5898.50222667789
2006-02-24,5726.50222667789
2006-02-25,5407.50222667789
2006-02-26,4915.50222667789
2006-02-27,4707.50222667789
2006-02-28,4964.50222667789
2006-03-01,5546.50222667789
2006-03-02,5978.50222667789
2006-03-03,6776.50222667789
2006-03-04,7701.50222667789
2006-03-05,8528.50222667789
2006-03-06,10223.5022266779
2006-03-07,11280.5022266779
2006-03-08,11818.5022266779
2006-03-09,12109.5022266779
2006-03-10,12493.5022266779
2006-03-11,12689.5022266779
2006-03-12,12572.5022266779
2006-03-13,12439.5022266779
2006-03-14,11972.5022266779
2006-03-15,11389.5022266779
2006-03-16,11651.9664146991
2006-03-17,11868.9664146991
2006-03-18,12080.9664146991
2006-03-19,12159.9664146991
2006-03-20,11914.9664146991
2006-03-21,12130.9664146991
2006-03-22,12268.9664146991
2006-03-23,12384.9664146991
2006-03-24,12039.9664146991
2006-03-25,11859.9664146991
2006-03-26,11601.9664146991
2006-03-27,11709.9664146991
2006-03-28,12180.9664146991
2006-03-29,12801.9664146991
2006-03-30,12689.9664146991
2006-03-31,13326.9664146991
2006-04-01,16115.606534345
2006-04-02,16336.606534345
2006-04-03,16536.606534345
2006-04-04,17707.606534345
2006-04-05,18178.606534345
2006-04-06,18482.606534345
2006-04-07,20249.606534345
2006-04-08,22269.606534345
2006-04-09,23370.606534345
2006-04-10,24665.606534345
2006-04-11,29024.606534345
2006-04-12,32590.606534345
2006-04-13,33728.606534345
2006-04-14,35782.606534345
2006-04-15,36249.606534345
2006-04-16,35962.606534345
2006-04-17,35163.606534345
2006-04-18,34365.606534345
2006-04-19,33128.606534345
2006-04-20,32345.606534345
2006-04-21,32375.606534345
2006-04-22,32507.606534345
2006-04-23,32465.606534345
2006-04-24,32403.606534345
2006-04-25,32225.606534345
2006-04-26,32170.606534345
2006-04-27,29777.3477369053
2006-04-28,29947.3477369053
2006-04-29,30187.3477369053
2006-04-30,30334.3477369053
2006-05-01,30276.3477369053
2006-05-02,30081.3477369053
2006-05-03,29935.3477369053
2006-05-04,29935.3477369053
2006-05-05,29440.3477369053
2006-05-06,28990.3477369053
2006-05-07,28560.3477369053
2006-05-08,28065.3477369053
2006-05-09,27585.3477369053
2006-05-10,27218.3477369053
2006-05-11,26867.3477369053
2006-05-12,26414.3477369053
2006-05-13,26355.3477369053
2006-05-14,26297.3477369053
2006-05-15,26126.3477369053
2006-05-16,25954.3477369053
2006-05-17,25777.3477369053
2006-05-18,25299.3477369053
2006-05-19,24989.3477369053
2006-05-20,24838.3477369053
2006-05-21,24618.3477369053
2006-05-22,24332.3477369053
2006-05-23,24118.3477369053
2006-05-24,24273.3477369053
2006-05-25,24406.3477369053
2006-05-26,24495.3477369053
2006-05-27,24410.3477369053
2006-05-28,24509.3477369053
2006-05-29,24627.3477369053
2006-05-30,24380.3477369053
2006-05-31,23543.3477369053
2006-06-01,22267.3477369053
2006-06-02,21073.3477369053
2006-06-03,21073.3477369053
2006-06-04,19042.3477369053
2006-06-05,18168.3477369053
2006-06-06,17319.3477369053
2006-06-07,16668.3477369053
2006-06-08,15897.3477369053
2006-06-09,14889.3477369053
2006-06-10,13670.3477369053
2006-06-11,13839.3477369053
2006-06-12,14449.3477369053
2006-06-13,15185.3477369053
2006-06-14,15596.3477369053
2006-06-15,15752.3477369053
2006-06-16,16674.647176169
2006-06-17,16695.647176169
2006-06-18,16524.647176169
2006-06-19,16199.647176169
2006-06-20,15603.647176169
2006-06-21,14937.647176169
2006-06-22,14060.647176169
2006-06-23,13807.647176169
2006-06-24,14201.647176169
2006-06-25,14595.647176169
2006-06-26,14868.647176169
2006-06-27,15281.647176169
2006-06-28,15695.647176169
2006-06-29,16044.647176169
2006-06-30,15732.647176169
2006-07-01,14762.647176169
2006-07-02,13957.647176169
2006-07-03,13045.647176169
2006-07-04,11534.647176169
2006-07-05,9857.64717616904
2006-07-06,8598.64717616904
2006-07-07,8214.64717616904
2006-07-08,7957.64717616904
2006-07-09,7856.31368007529
2006-07-10,7144.64717616904
2006-07-11,6432.98067226279
2006-07-12,5721.31368007529
2006-07-13,5019.33643897511
